t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3,tip_x,tip_y,tip_z
0.0,-3.4999835290624897e-06,1.914467645547559e-05,-4.954084797147698e-05,-0.0017499917645312447,0.009572338227737795,-0.02477042398573849,-0.46235464809531357,-0.25641573954633623,-5.1532346292222035,0.0,0.0,0.49999999999999967
0.002,-1.0582948655756167e-05,5.762382694180428e-05,-0.0001487096560860396,-0.0035414825633468382,0.019239575243164345,-0.0495844040572813,-0.45943461684797166,-0.21540474076428207,-5.146627324770623,1.593288825865226e-05,0.0,0.5000000006712306
0.004,-2.1330823758663245e-05,0.00011562225572017607,-0.00029758256629313143,-0.00537393755145354,0.028999214389185894,-0.07443645510354593,-0.4566831884960084,-0.17454545437552937,-5.139123346397318,4.775238432658829e-05,0.0,0.5000000060463489
0.006,-3.582445506396401e-05,0.00019331974635441123,-0.0004962247425931292,-0.007246815652650382,0.038848745317117586,-0.09932108814999888,-0.4541017018654808,-0.13384250380097384,-5.130724352534498,9.540928996054213e-05,0.0,0.5000000242048056
0.008,-5.4143594411177506e-05,0.0002908910351537986,-0.0007446903649867536,-0.00915956967360675,0.04878564439969369,-0.1242328111968122,-0.45169148457916014,-0.09330046545407655,-5.121432172920458,0.00015885149764301265,0.0,0.5000000672848329
0.01,-7.636688724579969e-05,0.000408505785440704,-0.0010430226250967053,-0.011111646417311093,0.0588073751434527,-0.1491661300549758,-0.4494538528371139,-0.052923868037538124,-5.111248808568121,0.00023802399918630127,0.0,0.5000001514912313
0.012,-0.00010257186083774537,0.0005463285626425545,-0.0013912537234588567,-0.013102486795972841,0.06891138860092524,-0.1741155491810757,-0.44739011119892963,-0.012717191846399967,-5.100176431703491,0.0003328688944243185,0.0,0.5000002970989321
0.014,-0.00013283491272467584,0.0007045188102086776,-0.0017894048684817731,-0.015131525943465233,0.07909512378306154,-0.1990755725114582,-0.44550155236748074,0.027315131921957336,-5.088217385673269,0.0004433253999968512,0.0,0.5000005284523389
0.016,-0.00016723129937947976,0.0008832308263533649,-0.002237486277074787,-0.017198193327401967,0.08935600807234363,-0.2240407042965069,-0.44378945697424727,0.0671687218503989,-5.075374184820918,0.0005693298582322732,0.0,0.5000008739604308
0.018000000000000002,-0.00020583512510137075,0.0010826137416274347,-0.0027354971769463147,-0.0193019128609455,0.09969145763703485,-0.2490054499357639,-0.44225509336614655,0.10683924697670544,-5.061649514330455,0.0007108157461359532,0.0,0.5000013660876329
0.02,-0.0002487193311302693,0.0013028114973214831,-0.003283425810575573,-0.02144210301444928,0.1100988778470242,-0.27396431681462935,-0.44089971739380285,0.14632242745980717,-5.047046230037203,0.000867713684492872,0.0,0.500002041340436
0.022,-0.00029595568498435036,0.00154396282470494,-0.0038812494408623248,-0.023618176927040522,0.12057566369172844,-0.29891181514337567,-0.4397245722012205,0.1856140352370097,-5.031567358204762,0.0010399514470941793,0.0,0.5000029402497959
0.024,-0.00034761477002085827,0.0018062012251059748,-0.004528934358460743,-0.025829542518253958,0.13111920020051737,-0.3238424587992089,-0.43873088801683485,0.22470989467171565,-5.015216095267416,0.0012274539700986274,0.0,0.5000041073492856
0.026000000000000002,-0.0004037659752205199,0.0020896549508382352,-0.005226435890804962,-0.028075602599830822,0.14172686286613026,-0.3487507661721092,-0.43791988194579873,0.26360588319103706,-4.997995807537241,0.0014301433615409927,0.0,0.5000055911490371
0.028,-0.00046447748519612094,0.002394446986981339,-0.00597369841283531,-0.030355754987800524,0.1523960180715518,-0.3736312610151741,-0.4372927577635437,0.30229793191276366,-4.979910030875095,0.0016479389110007495,0.0,0.5000074441054689
0.03,-0.0005298162704260514,0.002720695034022969,-0.006770655359435675,-0.032669392614965216,0.16312402352081495,-0.39847847330018293,-0.43685070571044055,0.34078202626109255,-4.960962470324755,0.0018807570994453394,0.0,0.5000097225868217
0.032,-0.0005998480777138722,0.0030685114913713623,-0.007617229239593855,-0.035015903643910405,0.1739082286741968,-0.4232869400790897,-0.4365949022875541,0.379054206570542,-4.941156999709395,0.002128511609263495,0.0,0.5000124868345194
0.034,-0.0006746374208752056,0.0034380034417479015,-0.008513331652298133,-0.037394671580666755,0.18474597518826952,-0.4480512063521394,-0.43652651005339044,0.4171105686774832,-4.920497661189652,0.00239111333450506,0.0,0.5000158009203751
